title,award,critic,public
,,"The film succeeds on its own terms-an exciting entertainment that makes us feel good about the outcome, and about the reach of American power, rather than its limits.",5/5. The first half is Die Hard on a boat. The second half is Zero Dark Thirty on a boat. Combine them together and you have an extremely effective thriller with fantastic acting.
,,"A ruthless, ripped-from-the-headlines seafaring thriller with a vintage turn from Tom Hanks.",An edge of the seat thriller! Recommended.
,,"This tense drama in the high-seas will leave you feeling claustrophobic. The film is an archetypal Paul Greengrass thriller, which keeps you on the edge of your seat","Captain Philips is very thrilling, well written and Tom Hanks's performance is extremely powerful! Paul Greengrass captures the realism and the overall film and performances are very convincing."
,,One of the year's best films.,Absolutely fantastic!!! Great acting by Tom Hanks. Non stop action and drama.
,,"We watch these films and wonder about ourselves, about who we are, why we are here, what we would do.",Very intense on the edge of your seat flick. Of course Tom Hanks is amazing.
,,A survival saga that raises the pulse and tweaks the conscience.,An unsuspected great thriller that is filled to the brim with tension and great acting. Hanks at the top of his game and not uncounted the brilliant supporting work also. I was holding my hands so hard under these two hours and it was very well made. Hand helled camera was very affecting.
,,,"This movie is amazing. A perfect way to tell the true story. The acting, especially from Tom Hanks, is incredible, the directing is great, and the ending is heart pounding. One of 2013's best."
,,,"Great modern true story that gives the audience an appreciation for Captain Phillips. This movie keeps you on the edge of your seat, the performances by every single person in this film are incredible, what amazes me is that this was Abdi's first movie role as well as the other pirates and their energy and expressions give you chills. Hanks is spectacular and the score adds to the intensity and urgency. A great film."
,,,"Not a bad film, Tom Hanks is great but if you only see one film about a hijacking watch A Hijacking instead"
,,,Really good. I kept it together along with Hanks until the last scene. Now that's acting.
,,,It started off a little slow but once it got going you were hooked. Even if you already knew the outcome going into it the story completely captivates you.
,,,"A thrilling movie with themes of heroism, humanity and survival. Fantastic performances all around -- but I gotta say, I love Tom Hanks. Brilliant."
,,,Really enjoyed this movie and although lengthy I really enjoyed it. It's edge of your seat stuff and a true story too!
,,,This is an intense and excellently executed film. Tom Hanks puts on an amazing award winning performance. One feels immersed in the movie; it's gripping and you can almost feel as if you are there.
